,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,last_owned
8769,SOLD,289900,4.0,3.0,0.29,52 Albany St,Hoosick Falls,New York,12090.0,1920.0,9/5/1995
8770,SOLD,185000,2.0,1.0,1.16,2064 US Highway 20,Nassau,New York,12123.0,1556.0,Not Owned
8771,SOLD,279900,3.0,2.0,1.13,3 N Schodack Rd,East Greenbush,New York,12061.0,1984.0,Not Owned
8772,SOLD,219999,2.0,1.0,0.17,27 Houseman Ave,Ghent,New York,12037.0,1030.0,12/31/2018
8773,SOLD,399000,3.0,2.0,5.63,48 Cornwall Rd,Warren,Connecticut,6754.0,1352.0,6/4/2019
8774,SOLD,1150000,4.0,4.0,18.9,775 Snydertown Rd,Claverack,New York,12513.0,4230.0,Not Owned
8775,SOLD,750000,3.0,3.0,4.9,1 Van Buren Dr,Copake,New York,12516.0,1708.0,Not Owned
8776,SOLD,229900,2.0,1.0,0.17,47 Edith St,Watertown,Connecticut,6779.0,952.0,7/26/1995
8777,SOLD,1200000,4.0,4.0,30.0,3587 State Route 66,Chatham,New York,12037.0,3344.0,Not Owned
8778,SOLD,595000,5.0,3.0,0.91,4 Paxton Ct,Goshen,Connecticut,6756.0,1648.0,9/14/2020
8779,SOLD,675000,4.0,1.0,209.0,855 Central Nassau Rd,East Nassau,New York,12062.0,1928.0,Not Owned
8780,SOLD,649900,3.0,3.0,0.09,351 Hunter Dr,Litchfield,Connecticut,6759.0,2466.0,Not Owned
8781,SOLD,649900,3.0,3.0,0.09,408 Hunter Dr,Litchfield,Connecticut,6759.0,2466.0,Not Owned
8782,SOLD,577900,3.0,3.0,0.09,355 Hunter Dr,Litchfield,Connecticut,6759.0,2070.0,Not Owned
8783,SOLD,684900,3.0,3.0,0.09,359 Hunter Dr,Litchfield,Connecticut,6759.0,2466.0,Not Owned
8784,SOLD,345000,3.0,2.0,0.32,27 Moore Ave,Chatham,New York,12037.0,1126.0,6/16/2020
8785,SOLD,100000,3.0,2.0,3.49,193 Oak Hill Rd,Sand Lake,New York,12018.0,1518.0,Not Owned
8786,SOLD,75000,3.0,3.0,12.39,Blue Factory Rd,Poestenkill,New York,12018.0,1200.0,Not Owned
8787,SOLD,100000,4.0,3.0,25.26,Babcock Lake Rd,Grafton,New York,12138.0,1892.0,Not Owned
8788,SOLD,349900,3.0,2.0,0.61,10 Marcy Ave,Sand Lake,New York,12018.0,1680.0,3/8/2019
8789,SOLD,350000,2.0,2.0,2.54,47 Cobble Hill Rd,Hoosick,New York,12089.0,1582.0,Not Owned
8790,SOLD,875000,4.0,5.0,9.17,39A Magnolia Dr,Sand Lake,New York,12018.0,2800.0,Not Owned
8791,SOLD,289900,3.0,2.0,0.73,257 Lynnrich Dr,Thomaston,Connecticut,6787.0,1456.0,Not Owned
8792,SOLD,1100000,4.0,5.0,9.17,39 Magnolia Dr,Sand Lake,New York,12018.0,3773.0,Not Owned
8793,SOLD,350000,3.0,2.0,2.41,64 Town Line Hwy S,Bethlehem,Connecticut,6751.0,1270.0,7/12/2005
8794,SOLD,595000,2.0,2.0,0.23,331 Main St,Salisbury,Connecticut,6039.0,1172.0,Not Owned
8795,SOLD,479900,3.0,3.0,0.55,115 Mount Fair Dr,Watertown,Connecticut,6795.0,2577.0,Not Owned
8796,SOLD,69000,3.0,1.0,1.06,Gay,Millerton,New York,12546.0,1200.0,10/23/2021
8797,SOLD,369000,3.0,2.0,0.57,35 Facchin St,Canaan,Connecticut,6031.0,1142.0,5/4/2020
8798,SOLD,499000,3.0,3.0,1.52,1134 Bantam Rd,Litchfield,Connecticut,6750.0,2100.0,6/5/2018
8799,SOLD,79900,3.0,3.0,1.48,1 Rod and Gun Club Rd Lot 1,Valatie,New York,12184.0,1200.0,Not Owned
8800,SOLD,549900,3.0,2.0,2.02,19 Magnolia Dr,Sand Lake,New York,12018.0,1787.0,Not Owned
8801,SOLD,349900,3.0,2.0,0.69,795 Bunker Hill Rd,Watertown,Connecticut,6795.0,1536.0,8/31/2016
8802,SOLD,1150000,5.0,4.0,2.6,11 Rattlesnake Rd,Cornwall,Connecticut,6796.0,3390.0,Not Owned
8803,SOLD,209999,2.0,4.0,0.29,50 Sunset Ave,Watertown,Connecticut,6795.0,1728.0,Not Owned
8804,SOLD,395000,3.0,2.0,69.82,Stever Hill Rd,Austerlitz,New York,12037.0,1302.0,Not Owned
8805,SOLD,1795000,7.0,5.0,9.7,115 Birch Hill Rd,Copake,New York,12528.0,4212.0,Not Owned
8806,SOLD,1850000,7.0,5.0,95.23,69 Cemetery Rd,New Lebanon,New York,12125.0,5250.0,Not Owned
8807,SOLD,125000,3.0,3.0,1.58,360 Black River Rd,Stephentown,New York,12169.0,3092.0,Not Owned
8808,SOLD,1795000,7.0,5.0,9.7,115 Birch Hill Rd,Craryville,New York,12521.0,4212.0,Not Owned
8809,SOLD,169500,3.0,2.0,1.7,38 Adams Crossing Rd,New Lebanon,New York,12062.0,1160.0,2/3/2003
8810,SOLD,164900,3.0,2.0,0.77,12 Beckett St,Hoosick Falls,New York,12090.0,1456.0,8/21/2018
8811,SOLD,199900,3.0,1.0,0.17,165 Westbury Park Rd,Watertown,Connecticut,6795.0,1300.0,8/1/2018
8812,SOLD,5900000,8.0,13.0,29.5,184 Fern Ave,Litchfield,Connecticut,6759.0,12016.0,9/29/2004
